cpt_hcpcs_code
C7544
C9797
00170
00222
01173
01402
01951
11200
13132
15574
17272
20662
20979
21032
21121
21295
21423
21811
23078
23100
24370
24586
25119
25400
25420
26105
27066
27216
27240
27269
27750
28202
28636
29700
29881
31254
31615
31624
33335
33641
33780
33917
34831
34842
35341
35516
35583
36592
37220
38204
43332
43334
44899
48999
49215
50436
50574
50700
51999
52283
52301
52647
56700
57423
58805
58950
59136
61700
61880
62329
62361
64570
64721
67935
77799
90956
92014
92025
92552
99382
99469
0266T
0444T
0574T
0788T
C9606
G2074
G9978
00524
11441
11952
15953
17311
20697
21175
21554
24125
24359
24538
24640
25929
26508
27125
27416
27829
29855
31085
31370
31395
31525
31578
32997
32999
33140
33427
33468
33732
33957
34712
35372
35512
35875
40899
41251
41823
43335
43845
44055
44316
45303
46910
46940
50782
51729
52214
54385
54405
55873
57295
58280
58542
58700
59871
61518
61543
61735
61863
63102
63290
65222
65290
67145
77316
93291
95976
96446
97167
97608
0353T
0473T
0584T
C9901
00126
00402
00542
01250
01844
11406
11470
15002
15821
15822
21016
21261
21330
24105
24358
26215
28530
28600
29824
29838
29876
31646
32503
33512
35531
38215
38232
42140
42280
43213
43288
43611
43999
44602
47141
49452
49595
49659
50545
51590
51840
53440
53852
58345
58615
60220
61500
61720
61850
62292
63252
63271
64596
64857
64868
65775
69930
69960
92284
92517
93288
94642
0339T
0520T
0565T
0795T
C9759
G2214
G6008
00800
00862
15757
17313
22513
23101
24930
26037
26080
27394
27455
27566
27616
27816
28130
28272
29058
29730
29836
32606
32609
33883
33966
34706
35305
36455
36595
36821
37607
38530
41007
43290
43327
43610
44151
44900
45171
45340
46710
47382
49324
49406
49407
50547
51580
51720
52310
52630
53505
55120
58561
58578
58943
65125
66150
69501
69632
69905
69915
79101
79300
90970
96522
0588T
0719T
0801T
0803T
0871T
C9769
C9786
G9680
11400
15877
20551
21073
21499
21825
21933
23505
25075
25490
25635
26556
26562
27030
27111
28011
28230
28400
30468
31230
31725
35570
35612
36160
36516
36582
36640
37722
41005
43220
43270
43887
44136
47740
50405
50570
51841
53444
57250
58140
58670
59150
59618
61692
63045
64450
64755
64896
69120
77262
92260
92562
92630
93590
99050
99490
0236T
0582T
0632T
0730T
0800T
C9765
G0407
G0467
00796
11463
11720
14060
20150
21014
21615
22214
22319
22899
23200
23655
24925
25028
25825
26113
26478
27235
27503
27686
27698
27704
27780
29345
29915
30462
31243
32905
35092
35190
36253
36836
37212
37606
39545
41010
43124
43242
43328
43754
44187
45990
47142
47534
48020
48500
49329
49906
51705
51865
54861
58263
58579
58673
58970
64489
65900
66605
67208
69601
69949
77307
79445
93460
97607
99397
99501
G6006
00906
01610
01758
11624
12047
20822
21123
21336
21344
21557
21610
22112
24150
24800
25251
25931
26116
27280
27340
27634
27734
28740
29821
29847
29901
31231
31259
31420
32141
32998
33416
33496
37184
41113
41130
41805
42825
42844
43214
43314
43770
44384
44605
45338
45393
46608
49425
49429
50541
51860
52000
52318
55650
55842
57020
57200
57220
57310
57330
57511
61790
62010
63661
63685
64445
64647
67801
69421
77600
92230
92587
92924
92975
93457
96450
96549
99058
99307
0802T
C1062
C9761
00566
00840
00948
01212
01933
11404
11421
15155
15220
15760
15792
17282
21338
21422
22114
23412
23540
23900
24575
25426
27045
27178
27390
27510
27556
27606
27615
27676
27680
27871
28292
28725
30320
31587
31755
33511
33621
33750
33782
35201
35876
37187
37244
40814
43882
45385
47579
47605
49040
50695
51525
51925
51992
54390
55680
60699
64786
65273
65755
65771
69970
95983
96405
97158
99215
99222
0440T
0737T
0786T
0810T
0874T
0885T
C7551
G0268
00811
01522
11426
19499
20525
20552
20605
21076
21750
22867
23334
24670
25915
26502
26516
26517
27138
27179
27328
27822
28003
28022
28250
28615
28675
30117
30310
30520
31201
31530
33504
33775
33954
35522
35663
35879
37211
41827
45384
46255
50065
50125
50432
51100
52265
52281
53405
53855
58543
59821
60502
60521
64635
64740
69662
92508
93580
93596
95133
97161
99393
0411T
G2252
00640
00832
01232
15610
21235
22864
24545
25425
26433
26551
27130
27220
27227
27438
27538
28222
28496
28570
29365
29844
29866
30460
31546
32555
33130
33276
33967
35510
35521
36902
37191
39560
43226
43238
44210
44392
48556
49020
52235
54670
55867
56501
56632
61885
61886
63283
64493
64585
64746
64862
64907
68550
68745
69667
92201
92504
94640
99502
0420T
0620T
0884T
0890T
C9734
C9792
G0443
G6015
00172
00192
00214
00220
00626
01432
01486
11312
11640
20615
21146
22558
23195
23480
26100
26210
26341
26498
27238
27331
27360
27425
28304
28306
29305
29445
29899
31290
31561
32442
33235
33289
33340
33548
33745
33889
35211
35905
37228
37500
38208
39599
41018
42440
42842
43231
43305
43425
44500
45112
45327
45349
46746
49594
50760
51050
51595
51726
51784
53400
54164
54435
54640
54680
55175
55831
57010
57240
57265
57531
57700
58600
60000
61520
64530
64708
64719
65260
66680
67015
67966
77317
77499
92524
92555
93260
93595
97113
98943
99460
0485T
0707T
C7516
C7523
G0378
G0402
G0409
G0427
G0491
00756
11303
15876
20680
20974
21209
21510
21556
24365
25645
26416
26490
26567
27003
27087
27266
27290
27350
27870
28302
31233
31785
33120
33321
35091
35820
36254
37618
38230
41006
41008
43210
43239
43499
43500
44120
45334
45388
47600
49605
50135
50561
50660
53000
53502
54120
54220
55810
57230
59070
63282
63704
64714
64722
64736
64774
65880
67010
67121
67515
67974
69711
77770
93282
93304
95120
96406
98940
99472
99493
0395T
0522T
0537T
0813T
C7558
M0075
00752
11043
11301
11960
11983
12004
16020
17286
19350
19364
20520
20661
21385
22206
22590
23921
24110
24371
25120
25430
25670
25675
25909
26260
27392
27412
27535
27552
28001
28635
29827
29884
30915
30920
31297
31622
32665
32666
33736
33766
33968
33981
34421
35111
36585
38525
42999
43336
44025
44157
45113
49002
49204
50080
53240
54060
54308
54344
55875
56821
58560
61460
61590
61608
61640
62194
63600
63610
64763
65135
67961
69150
77299
92020
92990
93582
99234
99288
0207T
0479T
C7557
C9727
G0492
G6012
01472
01740
01916
01963
12011
15852
20606
20611
20694
21199
21501
22861
23405
23473
24500
25071
25607
26145
26492
26720
26951
27230
27722
28008
28119
28264
28300
31255
33212
33310
33514
33875
34151
35184
36012
38305
40652
40844
42310
43340
44820
47300
47380
47620
47720
49084
49525
52330
54240
56634
57210
58546
61519
61703
63085
64590
64804
65114
67445
67840
77318
90834
92567
93503
98941
0075T
0484T
0805T
0817T
00580
00872
10061
20550
20808
20827
21084
21436
21627
24138
24140
26434
26593
26742
26820
27048
27602
28270
28299
28525
31367
31375
31505
33735
35506
36221
36556
36819
37617
38241
46020
46948
47800
49622
50785
51715
52355
53460
54318
57305
58575
59076
59120
59510
61591
61736
63173
63251
66991
67399
79005
90935
92518
93286
93591
99060
99383
0200T
0580T
C7515
G0397
G0518
00320
00844
00936
01112
01937
11311
15770
19330
21070
21365
21600
21620
22554
22633
23020
23474
24615
24635
25000
25100
25676
26460
26560
26605
26746
27065
27097
27391
27395
27540
27618
27700
27769
28100
28344
28585
28890
29720
29898
31235
31579
33478
34702
35361
35526
35631
36570
36590
38214
40700
41820
43197
43248
44979
46200
46257
49205
52352
53040
54401
57023
58290
58562
61524
61630
62350
64418
64704
67405
69636
69643
93289
93307
96112
96920
99392
0516T
0528T
0674T
0789T
G0466
00529
00635
00794
01340
01730
15733
15878
19303
21031
23615
24361
26035
27601
27768
27828
28737
29584
29875
31239
31267
31775
32852
