hcc,is_chronic,model_version,model_domain
HCC138,Y,V22,CMS-HCC
HCC2,,V23,CMS-HCC
HCC146,Y,V22,CMS-HCC
HCC168,,V22,CMS-HCC
HCC62,Y,V22,CMS-HCC
HCC80,Y,V22,CMS-HCC
HCC39,,V23,CMS-HCC
HCC171,,V23,CMS-HCC
HCC2,,V22,CMS-HCC
HCC105,Y,V23,CMS-HCC
HCC108,Y,V23,CMS-HCC
HCC65,Y,V22,CMS-HCC
HCC162,,V22,CMS-HCC
HCC125,Y,V23,CMS-HCC
HCC5,,V22,CMS-HCC
HCC92,Y,V22,CMS-HCC
HCC112,Y,V22,CMS-HCC
HCC4,,V23,CMS-HCC
HCC10,Y,V23,CMS-HCC
HCC76,Y,V23,CMS-HCC
HCC200,,V23,CMS-HCC
HCC129,,V22,CMS-HCC
HCC166,,V22,CMS-HCC
HCC169,,V22,CMS-HCC
HCC48,Y,V23,CMS-HCC
HCC18,Y,V22,CMS-HCC
HCC23,Y,V22,CMS-HCC
HCC42,Y,V22,CMS-HCC
HCC90,,V22,CMS-HCC
HCC94,Y,V22,CMS-HCC
HCC122,Y,V22,CMS-HCC
HCC170,,V22,CMS-HCC
HCC197,,V22,CMS-HCC
HCC198,,V23,CMS-HCC
HCC200HCC201,,V23,CMS-HCC
HCC53,Y,V22,CMS-HCC
HCC107,,V22,CMS-HCC
HCC125,Y,V22,CMS-HCC
HCC25,Y,V23,CMS-HCC
HCC164,,V23,CMS-HCC
HCC114,,V22,CMS-HCC
HCC177,,V23,CMS-HCC
HCC28,Y,V22,CMS-HCC
HCC63,Y,V22,CMS-HCC
HCC72,Y,V22,CMS-HCC
HCC93,Y,V22,CMS-HCC
HCC183,,V22,CMS-HCC
HCC59,Y,V23,CMS-HCC
HCC75,Y,V23,CMS-HCC
HCC118,,V22,CMS-HCC
HCC142,,V22,CMS-HCC
HCC12,Y,V23,CMS-HCC
HCC17,Y,V23,CMS-HCC
HCC41,Y,V23,CMS-HCC
HCC90,,V23,CMS-HCC
HCC112,Y,V23,CMS-HCC
HCC188,Y,V22,CMS-HCC
HCC162,,V23,CMS-HCC
HCC181,Y,V23,CMS-HCC
HCC182,Y,V23,CMS-HCC
HCC204,,V23,CMS-HCC
HCC35,Y,V22,CMS-HCC
HCC78,Y,V22,CMS-HCC
HCC159,Y,V22,CMS-HCC
HCC138,Y,V23,CMS-HCC
HCC168,,V23,CMS-HCC
HCC175,,V23,CMS-HCC
HCC180,Y,V23,CMS-HCC
HCC110,Y,V22,CMS-HCC
HCC143,Y,V22,CMS-HCC
HCC154,,V22,CMS-HCC
HCC163,,V22,CMS-HCC
HCC171,,V22,CMS-HCC
HCC100,Y,V23,CMS-HCC
HCC135,,V23,CMS-HCC
HCC145,,V23,CMS-HCC
HCC19,Y,V22,CMS-HCC
HCC54,Y,V22,CMS-HCC
HCC64,Y,V22,CMS-HCC
HCC193,,V22,CMS-HCC
HCC55,Y,V23,CMS-HCC
HCC194,,V23,CMS-HCC
HCC39,,V22,CMS-HCC
HCC77,Y,V22,CMS-HCC
HCC98,Y,V22,CMS-HCC
HCC124,Y,V22,CMS-HCC
HCC139,Y,V22,CMS-HCC
HCC144,,V22,CMS-HCC
HCC6,,V23,CMS-HCC
HCC21,,V23,CMS-HCC
HCC141,Y,V23,CMS-HCC
HCC151,,V23,CMS-HCC
HCC179,,V22,CMS-HCC
HCC198,,V22,CMS-HCC
HCC89,Y,V23,CMS-HCC
HCC93,Y,V23,CMS-HCC
HCC109,,V23,CMS-HCC
HCC176,,V23,CMS-HCC
HCC26,Y,V22,CMS-HCC
HCC65,Y,V23,CMS-HCC
HCC66,Y,V23,CMS-HCC
HCC69,Y,V23,CMS-HCC
HCC127,Y,V23,CMS-HCC
HCC37,,V22,CMS-HCC
HCC71,Y,V23,CMS-HCC
HCC157,Y,V23,CMS-HCC
HCC84,,V22,CMS-HCC
HCC31,Y,V23,CMS-HCC
HCC63,Y,V23,CMS-HCC
HCC59,,V22,CMS-HCC
HCC103,Y,V22,CMS-HCC
HCC152,,V22,CMS-HCC
HCC82,Y,V23,CMS-HCC
HCC116,,V23,CMS-HCC
HCC74,Y,V22,CMS-HCC
