hcc,is_chronic,model_version,model_domain
HCC204,,V24,CMS-HCC
HCC24,,V24,CMS-HCC
HCC7,,V28,CMS-HCC
HCC109,Y,V28,CMS-HCC
HCC76,Y,V24,CMS-HCC
HCC26,,V28,CMS-HCC
HCC48,Y,V28,CMS-HCC
HCC66,,V28,CMS-HCC
HCC78,,V28,CMS-HCC
HCC235,Y,V28,CMS-HCC
HCC251,Y,V28,CMS-HCC
HCC122,Y,V24,CMS-HCC
HCC172,,V24,CMS-HCC
HCC159,,V28,CMS-HCC
HCC181,Y,V28,CMS-HCC
HCC294,Y,V28,CMS-HCC
HCC440,,V28,CMS-HCC
HCC169,,V24,CMS-HCC
HCC1,Y,V28,CMS-HCC
HCC452,Y,V28,CMS-HCC
HCC40,Y,V24,CMS-HCC
HCC133,Y,V24,CMS-HCC
HCC4,,V24,CMS-HCC
HCC31,Y,V24,CMS-HCC
HCC3,,V28,CMS-HCC
HCC54,Y,V28,CMS-HCC
HCC431,,V28,CMS-HCC
HCC103,Y,V24,CMS-HCC
HCC108,Y,V28,CMS-HCC
HCC195,,V24,CMS-HCC
HCC19,Y,V24,CMS-HCC
HCC95,Y,V28,CMS-HCC
HCC152,,V28,CMS-HCC
HCC158,,V28,CMS-HCC
HCC211,Y,V28,CMS-HCC
HCC402,,V28,CMS-HCC
HCC161,Y,V24,CMS-HCC
HCC226,Y,V28,CMS-HCC
HCC303,Y,V28,CMS-HCC
HCC369,,V28,CMS-HCC
HCC196,Y,V28,CMS-HCC
HCC225,Y,V28,CMS-HCC
HCC239,Y,V28,CMS-HCC
HCC276,Y,V28,CMS-HCC
HCC326,Y,V28,CMS-HCC
HCC365,,V28,CMS-HCC
HCC137,Y,V28,CMS-HCC
HCC123,Y,V24,CMS-HCC
HCC135,,V24,CMS-HCC
HCC178,,V24,CMS-HCC
HCC20,Y,V28,CMS-HCC
HCC153,Y,V28,CMS-HCC
HCC182,Y,V28,CMS-HCC
HCC267,,V28,CMS-HCC
HCC284,,V28,CMS-HCC
HCC428,,V28,CMS-HCC
HCC43,Y,V24,CMS-HCC
HCC47,Y,V24,CMS-HCC
HCC107,,V24,CMS-HCC
HCC110,Y,V24,CMS-HCC
HCC39,Y,V28,CMS-HCC
HCC157,Y,V28,CMS-HCC
HCC99,,V28,CMS-HCC
