diagnosis_code,cc,model_name
C040,11,CMS-HCC ESRD Model V21
C041,11,CMS-HCC ESRD Model V21
C048,11,CMS-HCC ESRD Model V21
C049,11,CMS-HCC ESRD Model V21
C050,11,CMS-HCC ESRD Model V21
C051,11,CMS-HCC ESRD Model V21
C052,11,CMS-HCC ESRD Model V21
C058,11,CMS-HCC ESRD Model V21
C059,11,CMS-HCC ESRD Model V21
C060,11,CMS-HCC ESRD Model V21
C061,11,CMS-HCC ESRD Model V21
C062,11,CMS-HCC ESRD Model V21
C0680,11,CMS-HCC ESRD Model V21
C0689,11,CMS-HCC ESRD Model V21
C069,11,CMS-HCC ESRD Model V21
C07,11,CMS-HCC ESRD Model V21
C080,11,CMS-HCC ESRD Model V21
C081,11,CMS-HCC ESRD Model V21
C089,11,CMS-HCC ESRD Model V21
C090,11,CMS-HCC ESRD Model V21
C091,11,CMS-HCC ESRD Model V21
C098,11,CMS-HCC ESRD Model V21
C099,11,CMS-HCC ESRD Model V21
C100,11,CMS-HCC ESRD Model V21
C101,11,CMS-HCC ESRD Model V21
C102,11,CMS-HCC ESRD Model V21
C103,11,CMS-HCC ESRD Model V21
C104,11,CMS-HCC ESRD Model V21
C108,11,CMS-HCC ESRD Model V21
C109,11,CMS-HCC ESRD Model V21
C110,11,CMS-HCC ESRD Model V21
C111,11,CMS-HCC ESRD Model V21
C112,11,CMS-HCC ESRD Model V21
C113,11,CMS-HCC ESRD Model V21
C118,11,CMS-HCC ESRD Model V21
C119,11,CMS-HCC ESRD Model V21
C12,11,CMS-HCC ESRD Model V21
C130,11,CMS-HCC ESRD Model V21
C131,11,CMS-HCC ESRD Model V21
C132,11,CMS-HCC ESRD Model V21
C138,11,CMS-HCC ESRD Model V21
C139,11,CMS-HCC ESRD Model V21
C140,11,CMS-HCC ESRD Model V21
C142,11,CMS-HCC ESRD Model V21
C148,11,CMS-HCC ESRD Model V21
C153,9,CMS-HCC ESRD Model V21
C154,9,CMS-HCC ESRD Model V21
C155,9,CMS-HCC ESRD Model V21
C158,9,CMS-HCC ESRD Model V21
C159,9,CMS-HCC ESRD Model V21
C160,9,CMS-HCC ESRD Model V21
C161,9,CMS-HCC ESRD Model V21
C162,9,CMS-HCC ESRD Model V21
C163,9,CMS-HCC ESRD Model V21
C164,9,CMS-HCC ESRD Model V21
C165,9,CMS-HCC ESRD Model V21
C166,9,CMS-HCC ESRD Model V21
C168,9,CMS-HCC ESRD Model V21
C169,9,CMS-HCC ESRD Model V21
C170,9,CMS-HCC ESRD Model V21
C171,9,CMS-HCC ESRD Model V21
C172,9,CMS-HCC ESRD Model V21
C173,9,CMS-HCC ESRD Model V21
C178,9,CMS-HCC ESRD Model V21
C179,9,CMS-HCC ESRD Model V21
C180,11,CMS-HCC ESRD Model V21
C181,11,CMS-HCC ESRD Model V21
C182,11,CMS-HCC ESRD Model V21
C183,11,CMS-HCC ESRD Model V21
C184,11,CMS-HCC ESRD Model V21
C185,11,CMS-HCC ESRD Model V21
C186,11,CMS-HCC ESRD Model V21
C187,11,CMS-HCC ESRD Model V21
C188,11,CMS-HCC ESRD Model V21
C189,11,CMS-HCC ESRD Model V21
C19,11,CMS-HCC ESRD Model V21
C20,11,CMS-HCC ESRD Model V21
C210,11,CMS-HCC ESRD Model V21
C211,11,CMS-HCC ESRD Model V21
C212,11,CMS-HCC ESRD Model V21
C218,11,CMS-HCC ESRD Model V21
C220,9,CMS-HCC ESRD Model V21
C221,9,CMS-HCC ESRD Model V21
C222,9,CMS-HCC ESRD Model V21
C223,9,CMS-HCC ESRD Model V21
C224,9,CMS-HCC ESRD Model V21
C227,9,CMS-HCC ESRD Model V21
C228,9,CMS-HCC ESRD Model V21
C229,9,CMS-HCC ESRD Model V21
