diagnosis_code,cc,model_name
S98229D,189,CMS-HCC ESRD Model V21
S98229S,189,CMS-HCC ESRD Model V21
S98311A,173,CMS-HCC ESRD Model V21
S98311D,189,CMS-HCC ESRD Model V21
S98311S,189,CMS-HCC ESRD Model V21
S98312A,173,CMS-HCC ESRD Model V21
S98312D,189,CMS-HCC ESRD Model V21
S98312S,189,CMS-HCC ESRD Model V21
S98319A,173,CMS-HCC ESRD Model V21
S98319D,189,CMS-HCC ESRD Model V21
S98319S,189,CMS-HCC ESRD Model V21
S98321A,173,CMS-HCC ESRD Model V21
S98321D,189,CMS-HCC ESRD Model V21
S98321S,189,CMS-HCC ESRD Model V21
S98322A,173,CMS-HCC ESRD Model V21
S98322D,189,CMS-HCC ESRD Model V21
S98322S,189,CMS-HCC ESRD Model V21
S98329A,173,CMS-HCC ESRD Model V21
S98329D,189,CMS-HCC ESRD Model V21
S98329S,189,CMS-HCC ESRD Model V21
S98911A,173,CMS-HCC ESRD Model V21
S98911D,189,CMS-HCC ESRD Model V21
S98911S,189,CMS-HCC ESRD Model V21
S98912A,173,CMS-HCC ESRD Model V21
S98912D,189,CMS-HCC ESRD Model V21
S98912S,189,CMS-HCC ESRD Model V21
S98919A,173,CMS-HCC ESRD Model V21
S98919D,189,CMS-HCC ESRD Model V21
S98919S,189,CMS-HCC ESRD Model V21
S98921A,173,CMS-HCC ESRD Model V21
S98921D,189,CMS-HCC ESRD Model V21
S98921S,189,CMS-HCC ESRD Model V21
S98922A,173,CMS-HCC ESRD Model V21
S98922D,189,CMS-HCC ESRD Model V21
S98922S,189,CMS-HCC ESRD Model V21
S98929A,173,CMS-HCC ESRD Model V21
S98929D,189,CMS-HCC ESRD Model V21
S98929S,189,CMS-HCC ESRD Model V21
T1491XA,58,CMS-HCC ESRD Model V21
T1491XD,58,CMS-HCC ESRD Model V21
T1491XS,58,CMS-HCC ESRD Model V21
T3111,162,CMS-HCC ESRD Model V21
T3121,162,CMS-HCC ESRD Model V21
T3122,162,CMS-HCC ESRD Model V21
T3131,162,CMS-HCC ESRD Model V21
T3132,162,CMS-HCC ESRD Model V21
T3133,162,CMS-HCC ESRD Model V21
T3141,162,CMS-HCC ESRD Model V21
T3142,162,CMS-HCC ESRD Model V21
T3143,162,CMS-HCC ESRD Model V21
T3144,162,CMS-HCC ESRD Model V21
T3151,162,CMS-HCC ESRD Model V21
T3152,162,CMS-HCC ESRD Model V21
T3153,162,CMS-HCC ESRD Model V21
T3154,162,CMS-HCC ESRD Model V21
T3155,162,CMS-HCC ESRD Model V21
T3161,162,CMS-HCC ESRD Model V21
T3162,162,CMS-HCC ESRD Model V21
T3163,162,CMS-HCC ESRD Model V21
T3164,162,CMS-HCC ESRD Model V21
T3165,162,CMS-HCC ESRD Model V21
T3166,162,CMS-HCC ESRD Model V21
T3171,162,CMS-HCC ESRD Model V21
T3172,162,CMS-HCC ESRD Model V21
T3173,162,CMS-HCC ESRD Model V21
T3174,162,CMS-HCC ESRD Model V21
T3175,162,CMS-HCC ESRD Model V21
T3176,162,CMS-HCC ESRD Model V21
T3177,162,CMS-HCC ESRD Model V21
T3181,162,CMS-HCC ESRD Model V21
T3182,162,CMS-HCC ESRD Model V21
T3183,162,CMS-HCC ESRD Model V21
T3184,162,CMS-HCC ESRD Model V21
T3185,162,CMS-HCC ESRD Model V21
T3186,162,CMS-HCC ESRD Model V21
T3187,162,CMS-HCC ESRD Model V21
T3188,162,CMS-HCC ESRD Model V21
T3191,162,CMS-HCC ESRD Model V21
T3192,162,CMS-HCC ESRD Model V21
T3193,162,CMS-HCC ESRD Model V21
T3194,162,CMS-HCC ESRD Model V21
T3195,162,CMS-HCC ESRD Model V21
T3196,162,CMS-HCC ESRD Model V21
T3197,162,CMS-HCC ESRD Model V21
T3198,162,CMS-HCC ESRD Model V21
T3199,162,CMS-HCC ESRD Model V21
T3211,162,CMS-HCC ESRD Model V21
T3221,162,CMS-HCC ESRD Model V21
T3222,162,CMS-HCC ESRD Model V21
T3231,162,CMS-HCC ESRD Model V21
T3232,162,CMS-HCC ESRD Model V21
T3233,162,CMS-HCC ESRD Model V21
T3241,162,CMS-HCC ESRD Model V21
T3242,162,CMS-HCC ESRD Model V21
T3243,162,CMS-HCC ESRD Model V21
T3244,162,CMS-HCC ESRD Model V21
T3251,162,CMS-HCC ESRD Model V21
T3252,162,CMS-HCC ESRD Model V21
T3253,162,CMS-HCC ESRD Model V21
T3254,162,CMS-HCC ESRD Model V21
T3255,162,CMS-HCC ESRD Model V21
T3261,162,CMS-HCC ESRD Model V21
T3262,162,CMS-HCC ESRD Model V21
T3263,162,CMS-HCC ESRD Model V21
T3264,162,CMS-HCC ESRD Model V21
T3265,162,CMS-HCC ESRD Model V21
T3266,162,CMS-HCC ESRD Model V21
T3271,162,CMS-HCC ESRD Model V21
T3272,162,CMS-HCC ESRD Model V21
T3273,162,CMS-HCC ESRD Model V21
T3274,162,CMS-HCC ESRD Model V21
T3275,162,CMS-HCC ESRD Model V21
T3276,162,CMS-HCC ESRD Model V21
T3277,162,CMS-HCC ESRD Model V21
T3281,162,CMS-HCC ESRD Model V21
T3282,162,CMS-HCC ESRD Model V21
T3283,162,CMS-HCC ESRD Model V21
T3284,162,CMS-HCC ESRD Model V21
T3285,162,CMS-HCC ESRD Model V21
T3286,162,CMS-HCC ESRD Model V21
T3287,162,CMS-HCC ESRD Model V21
T3288,162,CMS-HCC ESRD Model V21
T3291,162,CMS-HCC ESRD Model V21
T3292,162,CMS-HCC ESRD Model V21
T3293,162,CMS-HCC ESRD Model V21
T3294,162,CMS-HCC ESRD Model V21
T3295,162,CMS-HCC ESRD Model V21
T3296,162,CMS-HCC ESRD Model V21
T3297,162,CMS-HCC ESRD Model V21
T3298,162,CMS-HCC ESRD Model V21
T3299,162,CMS-HCC ESRD Model V21
T360X2A,58,CMS-HCC ESRD Model V21
T360X2S,58,CMS-HCC ESRD Model V21
T361X2A,58,CMS-HCC ESRD Model V21
T361X2S,58,CMS-HCC ESRD Model V21
T362X2A,58,CMS-HCC ESRD Model V21
T362X2S,58,CMS-HCC ESRD Model V21
T363X2A,58,CMS-HCC ESRD Model V21
T363X2S,58,CMS-HCC ESRD Model V21
T364X2A,58,CMS-HCC ESRD Model V21
T364X2S,58,CMS-HCC ESRD Model V21
T365X2A,58,CMS-HCC ESRD Model V21
T365X2S,58,CMS-HCC ESRD Model V21
T366X2A,58,CMS-HCC ESRD Model V21
T366X2S,58,CMS-HCC ESRD Model V21
T367X2A,58,CMS-HCC ESRD Model V21
T367X2S,58,CMS-HCC ESRD Model V21
T368X2A,58,CMS-HCC ESRD Model V21
T368X2S,58,CMS-HCC ESRD Model V21
T3692XA,58,CMS-HCC ESRD Model V21
T3692XS,58,CMS-HCC ESRD Model V21
T370X2A,58,CMS-HCC ESRD Model V21
T370X2S,58,CMS-HCC ESRD Model V21
T371X2A,58,CMS-HCC ESRD Model V21
T371X2S,58,CMS-HCC ESRD Model V21
T372X2A,58,CMS-HCC ESRD Model V21
T372X2S,58,CMS-HCC ESRD Model V21
T373X2A,58,CMS-HCC ESRD Model V21
T373X2S,58,CMS-HCC ESRD Model V21
T374X2A,58,CMS-HCC ESRD Model V21
T374X2S,58,CMS-HCC ESRD Model V21
T375X2A,58,CMS-HCC ESRD Model V21
T375X2S,58,CMS-HCC ESRD Model V21
T378X2A,58,CMS-HCC ESRD Model V21
T378X2S,58,CMS-HCC ESRD Model V21
T3792XA,58,CMS-HCC ESRD Model V21
T3792XS,58,CMS-HCC ESRD Model V21
T380X2A,58,CMS-HCC ESRD Model V21
T380X2S,58,CMS-HCC ESRD Model V21
T381X2A,58,CMS-HCC ESRD Model V21
T381X2S,58,CMS-HCC ESRD Model V21
T382X2A,58,CMS-HCC ESRD Model V21
T382X2S,58,CMS-HCC ESRD Model V21
T383X2A,58,CMS-HCC ESRD Model V21
T383X2S,58,CMS-HCC ESRD Model V21
T384X2A,58,CMS-HCC ESRD Model V21
T384X2S,58,CMS-HCC ESRD Model V21
T385X2A,58,CMS-HCC ESRD Model V21
T385X2S,58,CMS-HCC ESRD Model V21
T386X2A,58,CMS-HCC ESRD Model V21
T386X2S,58,CMS-HCC ESRD Model V21
T387X2A,58,CMS-HCC ESRD Model V21
T387X2S,58,CMS-HCC ESRD Model V21
T38802A,58,CMS-HCC ESRD Model V21
T38802S,58,CMS-HCC ESRD Model V21
T38812A,58,CMS-HCC ESRD Model V21
T38812S,58,CMS-HCC ESRD Model V21
T38892A,58,CMS-HCC ESRD Model V21
T38892S,58,CMS-HCC ESRD Model V21
T38902A,58,CMS-HCC ESRD Model V21
T38902S,58,CMS-HCC ESRD Model V21
T38992A,58,CMS-HCC ESRD Model V21
T38992S,58,CMS-HCC ESRD Model V21
T39012A,58,CMS-HCC ESRD Model V21
T39012S,58,CMS-HCC ESRD Model V21
T39092A,58,CMS-HCC ESRD Model V21
T39092S,58,CMS-HCC ESRD Model V21
T391X2A,58,CMS-HCC ESRD Model V21
T391X2S,58,CMS-HCC ESRD Model V21
T392X2A,58,CMS-HCC ESRD Model V21
T392X2S,58,CMS-HCC ESRD Model V21
T39312A,58,CMS-HCC ESRD Model V21
T39312S,58,CMS-HCC ESRD Model V21
T39392A,58,CMS-HCC ESRD Model V21
T39392S,58,CMS-HCC ESRD Model V21
T394X2A,58,CMS-HCC ESRD Model V21
T394X2S,58,CMS-HCC ESRD Model V21
T398X2A,58,CMS-HCC ESRD Model V21
T398X2S,58,CMS-HCC ESRD Model V21
T3992XA,58,CMS-HCC ESRD Model V21
T3992XS,58,CMS-HCC ESRD Model V21
T400X2A,58,CMS-HCC ESRD Model V21
T400X2S,58,CMS-HCC ESRD Model V21
T401X2A,58,CMS-HCC ESRD Model V21
T401X2S,58,CMS-HCC ESRD Model V21
T402X2A,58,CMS-HCC ESRD Model V21
T402X2S,58,CMS-HCC ESRD Model V21
T403X2A,58,CMS-HCC ESRD Model V21
T403X2S,58,CMS-HCC ESRD Model V21
T40412A,58,CMS-HCC ESRD Model V21
T40412S,58,CMS-HCC ESRD Model V21
T40422A,58,CMS-HCC ESRD Model V21
T40422S,58,CMS-HCC ESRD Model V21
T40492A,58,CMS-HCC ESRD Model V21
T40492S,58,CMS-HCC ESRD Model V21
T405X2A,58,CMS-HCC ESRD Model V21
T405X2S,58,CMS-HCC ESRD Model V21
T40602A,58,CMS-HCC ESRD Model V21
T40602S,58,CMS-HCC ESRD Model V21
T40692A,58,CMS-HCC ESRD Model V21
T40692S,58,CMS-HCC ESRD Model V21
T40712A,58,CMS-HCC ESRD Model V21
T40712S,58,CMS-HCC ESRD Model V21
T40722A,58,CMS-HCC ESRD Model V21
T40722S,58,CMS-HCC ESRD Model V21
T408X2A,58,CMS-HCC ESRD Model V21
T408X2S,58,CMS-HCC ESRD Model V21
T40902A,58,CMS-HCC ESRD Model V21
T40902S,58,CMS-HCC ESRD Model V21
T40992A,58,CMS-HCC ESRD Model V21
T40992S,58,CMS-HCC ESRD Model V21
T410X2A,58,CMS-HCC ESRD Model V21
T410X2S,58,CMS-HCC ESRD Model V21
T411X2A,58,CMS-HCC ESRD Model V21
T411X2S,58,CMS-HCC ESRD Model V21
T41202A,58,CMS-HCC ESRD Model V21
T41202S,58,CMS-HCC ESRD Model V21
T41292A,58,CMS-HCC ESRD Model V21
T41292S,58,CMS-HCC ESRD Model V21
T413X2A,58,CMS-HCC ESRD Model V21
T413X2S,58,CMS-HCC ESRD Model V21
T4142XA,58,CMS-HCC ESRD Model V21
T4142XS,58,CMS-HCC ESRD Model V21
T415X2A,58,CMS-HCC ESRD Model V21
T415X2S,58,CMS-HCC ESRD Model V21
T420X2A,58,CMS-HCC ESRD Model V21
T420X2S,58,CMS-HCC ESRD Model V21
T421X2A,58,CMS-HCC ESRD Model V21
T421X2S,58,CMS-HCC ESRD Model V21
T422X2A,58,CMS-HCC ESRD Model V21
T422X2S,58,CMS-HCC ESRD Model V21
T423X2A,58,CMS-HCC ESRD Model V21
T423X2S,58,CMS-HCC ESRD Model V21
T424X2A,58,CMS-HCC ESRD Model V21
T424X2S,58,CMS-HCC ESRD Model V21
T425X2A,58,CMS-HCC ESRD Model V21
T425X2S,58,CMS-HCC ESRD Model V21
T426X2A,58,CMS-HCC ESRD Model V21
T426X2S,58,CMS-HCC ESRD Model V21
T4272XA,58,CMS-HCC ESRD Model V21
T4272XS,58,CMS-HCC ESRD Model V21
T428X2A,58,CMS-HCC ESRD Model V21
T428X2S,58,CMS-HCC ESRD Model V21
T43012A,58,CMS-HCC ESRD Model V21
T43012S,58,CMS-HCC ESRD Model V21
T43022A,58,CMS-HCC ESRD Model V21
T43022S,58,CMS-HCC ESRD Model V21
T431X2A,58,CMS-HCC ESRD Model V21
T431X2S,58,CMS-HCC ESRD Model V21
T43202A,58,CMS-HCC ESRD Model V21
T43202S,58,CMS-HCC ESRD Model V21
T43212A,58,CMS-HCC ESRD Model V21
T43212S,58,CMS-HCC ESRD Model V21
T43222A,58,CMS-HCC ESRD Model V21
T43222S,58,CMS-HCC ESRD Model V21
T43292A,58,CMS-HCC ESRD Model V21
T43292S,58,CMS-HCC ESRD Model V21
T433X2A,58,CMS-HCC ESRD Model V21
T433X2S,58,CMS-HCC ESRD Model V21
T434X2A,58,CMS-HCC ESRD Model V21
T434X2S,58,CMS-HCC ESRD Model V21
T43502A,58,CMS-HCC ESRD Model V21
T43502S,58,CMS-HCC ESRD Model V21
T43592A,58,CMS-HCC ESRD Model V21
T43592S,58,CMS-HCC ESRD Model V21
T43602A,58,CMS-HCC ESRD Model V21
T43602S,58,CMS-HCC ESRD Model V21
T43612A,58,CMS-HCC ESRD Model V21
T43612S,58,CMS-HCC ESRD Model V21
T43622A,58,CMS-HCC ESRD Model V21
T43622S,58,CMS-HCC ESRD Model V21
T43632A,58,CMS-HCC ESRD Model V21
T43632S,58,CMS-HCC ESRD Model V21
T43642A,58,CMS-HCC ESRD Model V21
T43642S,58,CMS-HCC ESRD Model V21
T43652A,58,CMS-HCC ESRD Model V21
T43652S,58,CMS-HCC ESRD Model V21
T43692A,58,CMS-HCC ESRD Model V21
T43692S,58,CMS-HCC ESRD Model V21
T438X2A,58,CMS-HCC ESRD Model V21
T438X2S,58,CMS-HCC ESRD Model V21
T4392XA,58,CMS-HCC ESRD Model V21
T4392XS,58,CMS-HCC ESRD Model V21
T440X2A,58,CMS-HCC ESRD Model V21
T440X2S,58,CMS-HCC ESRD Model V21
T441X2A,58,CMS-HCC ESRD Model V21
T441X2S,58,CMS-HCC ESRD Model V21
T442X2A,58,CMS-HCC ESRD Model V21
T442X2S,58,CMS-HCC ESRD Model V21
T443X2A,58,CMS-HCC ESRD Model V21
T443X2S,58,CMS-HCC ESRD Model V21
T444X2A,58,CMS-HCC ESRD Model V21
T444X2S,58,CMS-HCC ESRD Model V21
T445X2A,58,CMS-HCC ESRD Model V21
T445X2S,58,CMS-HCC ESRD Model V21
T446X2A,58,CMS-HCC ESRD Model V21
T446X2S,58,CMS-HCC ESRD Model V21
T447X2A,58,CMS-HCC ESRD Model V21
T447X2S,58,CMS-HCC ESRD Model V21
T448X2A,58,CMS-HCC ESRD Model V21
T448X2S,58,CMS-HCC ESRD Model V21
T44902A,58,CMS-HCC ESRD Model V21
T44902S,58,CMS-HCC ESRD Model V21
T44992A,58,CMS-HCC ESRD Model V21
T44992S,58,CMS-HCC ESRD Model V21
T450X2A,58,CMS-HCC ESRD Model V21
T450X2S,58,CMS-HCC ESRD Model V21
T451X2A,58,CMS-HCC ESRD Model V21
T451X2S,58,CMS-HCC ESRD Model V21
T452X2A,58,CMS-HCC ESRD Model V21
T452X2S,58,CMS-HCC ESRD Model V21
T453X2A,58,CMS-HCC ESRD Model V21
T453X2S,58,CMS-HCC ESRD Model V21
T454X2A,58,CMS-HCC ESRD Model V21
T454X2S,58,CMS-HCC ESRD Model V21
T45512A,58,CMS-HCC ESRD Model V21
T45512S,58,CMS-HCC ESRD Model V21
T45522A,58,CMS-HCC ESRD Model V21
T45522S,58,CMS-HCC ESRD Model V21
T45602A,58,CMS-HCC ESRD Model V21
T45602S,58,CMS-HCC ESRD Model V21
T45612A,58,CMS-HCC ESRD Model V21
T45612S,58,CMS-HCC ESRD Model V21
T45622A,58,CMS-HCC ESRD Model V21
T45622S,58,CMS-HCC ESRD Model V21
T45692A,58,CMS-HCC ESRD Model V21
T45692S,58,CMS-HCC ESRD Model V21
T457X2A,58,CMS-HCC ESRD Model V21
T457X2S,58,CMS-HCC ESRD Model V21
T458X2A,58,CMS-HCC ESRD Model V21
T458X2S,58,CMS-HCC ESRD Model V21
T4592XA,58,CMS-HCC ESRD Model V21
T4592XS,58,CMS-HCC ESRD Model V21
T460X2A,58,CMS-HCC ESRD Model V21
T460X2S,58,CMS-HCC ESRD Model V21
T461X2A,58,CMS-HCC ESRD Model V21
T461X2S,58,CMS-HCC ESRD Model V21
T462X2A,58,CMS-HCC ESRD Model V21
T462X2S,58,CMS-HCC ESRD Model V21
T463X2A,58,CMS-HCC ESRD Model V21
T463X2S,58,CMS-HCC ESRD Model V21
T464X2A,58,CMS-HCC ESRD Model V21
T464X2S,58,CMS-HCC ESRD Model V21
T465X2A,58,CMS-HCC ESRD Model V21
T465X2S,58,CMS-HCC ESRD Model V21
T466X2A,58,CMS-HCC ESRD Model V21
T466X2S,58,CMS-HCC ESRD Model V21
T467X2A,58,CMS-HCC ESRD Model V21
T467X2S,58,CMS-HCC ESRD Model V21
T468X2A,58,CMS-HCC ESRD Model V21
T468X2S,58,CMS-HCC ESRD Model V21
T46902A,58,CMS-HCC ESRD Model V21
T46902S,58,CMS-HCC ESRD Model V21
T46992A,58,CMS-HCC ESRD Model V21
T46992S,58,CMS-HCC ESRD Model V21
T470X2A,58,CMS-HCC ESRD Model V21
T470X2S,58,CMS-HCC ESRD Model V21
T471X2A,58,CMS-HCC ESRD Model V21
T471X2S,58,CMS-HCC ESRD Model V21
T472X2A,58,CMS-HCC ESRD Model V21
T472X2S,58,CMS-HCC ESRD Model V21
T473X2A,58,CMS-HCC ESRD Model V21
T473X2S,58,CMS-HCC ESRD Model V21
T474X2A,58,CMS-HCC ESRD Model V21
T474X2S,58,CMS-HCC ESRD Model V21
T475X2A,58,CMS-HCC ESRD Model V21
T475X2S,58,CMS-HCC ESRD Model V21
T476X2A,58,CMS-HCC ESRD Model V21
T476X2S,58,CMS-HCC ESRD Model V21
T477X2A,58,CMS-HCC ESRD Model V21
T477X2S,58,CMS-HCC ESRD Model V21
T478X2A,58,CMS-HCC ESRD Model V21
T478X2S,58,CMS-HCC ESRD Model V21
T4792XA,58,CMS-HCC ESRD Model V21
T4792XS,58,CMS-HCC ESRD Model V21
T480X2A,58,CMS-HCC ESRD Model V21
T480X2S,58,CMS-HCC ESRD Model V21
T481X2A,58,CMS-HCC ESRD Model V21
T481X2S,58,CMS-HCC ESRD Model V21
T48202A,58,CMS-HCC ESRD Model V21
T48202S,58,CMS-HCC ESRD Model V21
T48292A,58,CMS-HCC ESRD Model V21
T48292S,58,CMS-HCC ESRD Model V21
T483X2A,58,CMS-HCC ESRD Model V21
T483X2S,58,CMS-HCC ESRD Model V21
T484X2A,58,CMS-HCC ESRD Model V21
T484X2S,58,CMS-HCC ESRD Model V21
T485X2A,58,CMS-HCC ESRD Model V21
T485X2S,58,CMS-HCC ESRD Model V21
T486X2A,58,CMS-HCC ESRD Model V21
T486X2S,58,CMS-HCC ESRD Model V21
T48902A,58,CMS-HCC ESRD Model V21
T48902S,58,CMS-HCC ESRD Model V21
T48992A,58,CMS-HCC ESRD Model V21
T48992S,58,CMS-HCC ESRD Model V21
T490X2A,58,CMS-HCC ESRD Model V21
T490X2S,58,CMS-HCC ESRD Model V21
T491X2A,58,CMS-HCC ESRD Model V21
T491X2S,58,CMS-HCC ESRD Model V21
T492X2A,58,CMS-HCC ESRD Model V21
T492X2S,58,CMS-HCC ESRD Model V21
T493X2A,58,CMS-HCC ESRD Model V21
T493X2S,58,CMS-HCC ESRD Model V21
T494X2A,58,CMS-HCC ESRD Model V21
T494X2S,58,CMS-HCC ESRD Model V21
T495X2A,58,CMS-HCC ESRD Model V21
T495X2S,58,CMS-HCC ESRD Model V21
T496X2A,58,CMS-HCC ESRD Model V21
T496X2S,58,CMS-HCC ESRD Model V21
T497X2A,58,CMS-HCC ESRD Model V21
T497X2S,58,CMS-HCC ESRD Model V21
T498X2A,58,CMS-HCC ESRD Model V21
T498X2S,58,CMS-HCC ESRD Model V21
T4992XA,58,CMS-HCC ESRD Model V21
T4992XS,58,CMS-HCC ESRD Model V21
T500X2A,58,CMS-HCC ESRD Model V21
T500X2S,58,CMS-HCC ESRD Model V21
T501X2A,58,CMS-HCC ESRD Model V21
T501X2S,58,CMS-HCC ESRD Model V21
T502X2A,58,CMS-HCC ESRD Model V21
T502X2S,58,CMS-HCC ESRD Model V21
T503X2A,58,CMS-HCC ESRD Model V21
T503X2S,58,CMS-HCC ESRD Model V21
T504X2A,58,CMS-HCC ESRD Model V21
T504X2S,58,CMS-HCC ESRD Model V21
T505X2A,58,CMS-HCC ESRD Model V21
T505X2S,58,CMS-HCC ESRD Model V21
T506X2A,58,CMS-HCC ESRD Model V21
T506X2S,58,CMS-HCC ESRD Model V21
T507X2A,58,CMS-HCC ESRD Model V21
T507X2S,58,CMS-HCC ESRD Model V21
T508X2A,58,CMS-HCC ESRD Model V21
T508X2S,58,CMS-HCC ESRD Model V21
T50902A,58,CMS-HCC ESRD Model V21
T50902S,58,CMS-HCC ESRD Model V21
T50912A,58,CMS-HCC ESRD Model V21
T50912S,58,CMS-HCC ESRD Model V21
T50992A,58,CMS-HCC ESRD Model V21
T50992S,58,CMS-HCC ESRD Model V21
T50A12A,58,CMS-HCC ESRD Model V21
T50A12S,58,CMS-HCC ESRD Model V21
T50A22A,58,CMS-HCC ESRD Model V21
T50A22S,58,CMS-HCC ESRD Model V21
T50A92A,58,CMS-HCC ESRD Model V21
T50A92S,58,CMS-HCC ESRD Model V21
T50B12A,58,CMS-HCC ESRD Model V21
T50B12S,58,CMS-HCC ESRD Model V21
T50B92A,58,CMS-HCC ESRD Model V21
T50B92S,58,CMS-HCC ESRD Model V21
T50Z12A,58,CMS-HCC ESRD Model V21
T50Z12S,58,CMS-HCC ESRD Model V21
T50Z92A,58,CMS-HCC ESRD Model V21
T50Z92S,58,CMS-HCC ESRD Model V21
T510X2A,58,CMS-HCC ESRD Model V21
T510X2S,58,CMS-HCC ESRD Model V21
T511X2A,58,CMS-HCC ESRD Model V21
T511X2S,58,CMS-HCC ESRD Model V21
T512X2A,58,CMS-HCC ESRD Model V21
T512X2S,58,CMS-HCC ESRD Model V21
T513X2A,58,CMS-HCC ESRD Model V21
T513X2S,58,CMS-HCC ESRD Model V21
T518X2A,58,CMS-HCC ESRD Model V21
T518X2S,58,CMS-HCC ESRD Model V21
T5192XA,58,CMS-HCC ESRD Model V21
T5192XS,58,CMS-HCC ESRD Model V21
T520X2A,58,CMS-HCC ESRD Model V21
T520X2S,58,CMS-HCC ESRD Model V21
T521X2A,58,CMS-HCC ESRD Model V21
T521X2S,58,CMS-HCC ESRD Model V21
T522X2A,58,CMS-HCC ESRD Model V21
T522X2S,58,CMS-HCC ESRD Model V21
T523X2A,58,CMS-HCC ESRD Model V21
T523X2S,58,CMS-HCC ESRD Model V21
T524X2A,58,CMS-HCC ESRD Model V21
T524X2S,58,CMS-HCC ESRD Model V21
T528X2A,58,CMS-HCC ESRD Model V21
T528X2S,58,CMS-HCC ESRD Model V21
T5292XA,58,CMS-HCC ESRD Model V21
T5292XS,58,CMS-HCC ESRD Model V21
T530X2A,58,CMS-HCC ESRD Model V21
T530X2S,58,CMS-HCC ESRD Model V21
T531X2A,58,CMS-HCC ESRD Model V21
T531X2S,58,CMS-HCC ESRD Model V21
T532X2A,58,CMS-HCC ESRD Model V21
T532X2S,58,CMS-HCC ESRD Model V21
T533X2A,58,CMS-HCC ESRD Model V21
T533X2S,58,CMS-HCC ESRD Model V21
T534X2A,58,CMS-HCC ESRD Model V21
T534X2S,58,CMS-HCC ESRD Model V21
T535X2A,58,CMS-HCC ESRD Model V21
T535X2S,58,CMS-HCC ESRD Model V21
T536X2A,58,CMS-HCC ESRD Model V21
T536X2S,58,CMS-HCC ESRD Model V21
T537X2A,58,CMS-HCC ESRD Model V21
T537X2S,58,CMS-HCC ESRD Model V21
T5392XA,58,CMS-HCC ESRD Model V21
T5392XS,58,CMS-HCC ESRD Model V21
T540X2A,58,CMS-HCC ESRD Model V21
T540X2S,58,CMS-HCC ESRD Model V21
T541X2A,58,CMS-HCC ESRD Model V21
T541X2S,58,CMS-HCC ESRD Model V21
T542X2A,58,CMS-HCC ESRD Model V21
T542X2S,58,CMS-HCC ESRD Model V21
T543X2A,58,CMS-HCC ESRD Model V21
T543X2S,58,CMS-HCC ESRD Model V21
T5492XA,58,CMS-HCC ESRD Model V21
T5492XS,58,CMS-HCC ESRD Model V21
T550X2A,58,CMS-HCC ESRD Model V21
T550X2S,58,CMS-HCC ESRD Model V21
T551X2A,58,CMS-HCC ESRD Model V21
T551X2S,58,CMS-HCC ESRD Model V21
T560X2A,58,CMS-HCC ESRD Model V21
T560X2S,58,CMS-HCC ESRD Model V21
T561X2A,58,CMS-HCC ESRD Model V21
T561X2S,58,CMS-HCC ESRD Model V21
T562X2A,58,CMS-HCC ESRD Model V21
T562X2S,58,CMS-HCC ESRD Model V21
T563X2A,58,CMS-HCC ESRD Model V21
T563X2S,58,CMS-HCC ESRD Model V21
T564X2A,58,CMS-HCC ESRD Model V21
T564X2S,58,CMS-HCC ESRD Model V21
T565X2A,58,CMS-HCC ESRD Model V21
T565X2S,58,CMS-HCC ESRD Model V21
T566X2A,58,CMS-HCC ESRD Model V21
T566X2S,58,CMS-HCC ESRD Model V21
T567X2A,58,CMS-HCC ESRD Model V21
T567X2S,58,CMS-HCC ESRD Model V21
T56812A,58,CMS-HCC ESRD Model V21
T56812S,58,CMS-HCC ESRD Model V21
T56822A,58,CMS-HCC ESRD Model V21
T56822S,58,CMS-HCC ESRD Model V21
T56892A,58,CMS-HCC ESRD Model V21
T56892S,58,CMS-HCC ESRD Model V21
T5692XA,58,CMS-HCC ESRD Model V21
T5692XS,58,CMS-HCC ESRD Model V21
T570X2A,58,CMS-HCC ESRD Model V21
T570X2S,58,CMS-HCC ESRD Model V21
T571X2A,58,CMS-HCC ESRD Model V21
T571X2S,58,CMS-HCC ESRD Model V21
T572X2A,58,CMS-HCC ESRD Model V21
T572X2S,58,CMS-HCC ESRD Model V21
T573X2A,58,CMS-HCC ESRD Model V21
T573X2S,58,CMS-HCC ESRD Model V21
T578X2A,58,CMS-HCC ESRD Model V21
T578X2S,58,CMS-HCC ESRD Model V21
T5792XA,58,CMS-HCC ESRD Model V21
T5792XS,58,CMS-HCC ESRD Model V21
T5802XA,58,CMS-HCC ESRD Model V21
T5802XS,58,CMS-HCC ESRD Model V21
T5812XA,58,CMS-HCC ESRD Model V21
T5812XS,58,CMS-HCC ESRD Model V21
T582X2A,58,CMS-HCC ESRD Model V21
T582X2S,58,CMS-HCC ESRD Model V21
T588X2A,58,CMS-HCC ESRD Model V21
T588X2S,58,CMS-HCC ESRD Model V21
T5892XA,58,CMS-HCC ESRD Model V21
T5892XS,58,CMS-HCC ESRD Model V21
T590X2A,58,CMS-HCC ESRD Model V21
T590X2S,58,CMS-HCC ESRD Model V21
T591X2A,58,CMS-HCC ESRD Model V21
T591X2S,58,CMS-HCC ESRD Model V21
T592X2A,58,CMS-HCC ESRD Model V21
T592X2S,58,CMS-HCC ESRD Model V21
T593X2A,58,CMS-HCC ESRD Model V21
T593X2S,58,CMS-HCC ESRD Model V21
T594X2A,58,CMS-HCC ESRD Model V21
